RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
5.8,13,115,115,62,104325,225.08459674246126,226331.007858615
1.3,14,120,120,52,199325,233.91353120617345,182133.25412882847
3.6,9,75,75,82,190325,134.30519840910765,172962.6372333026
4.7,4,35,35,56,104325,63.07481542267561,158167.39593754083
1.8,10,85,85,60,126325,118.8101005164999,172026.6124522151
2.8,3,30,30,76,112325,44.70059139980612,155910.7915236207
4.1,15,130,130,50,179325,247.4551393919276,213333.41821363338
2.9,16,140,140,54,119325,219.45699687158117,202982.33651515868
3.5,17,145,145,80,158325,248.4135561083754,212176.67932200193
2.2,14,120,120,50,179325,187.52359429519484,189766.604562281
1.4,9,75,75,56,117325,99.38471320495103,177936.08981124265
6.6,14,120,120,58,150325,271.1747561853985,234073.61932903397
2.1,10,85,85,74,156325,125.36161038799912,174689.7725425904
3.8,5,45,45,40,194325,116.28842958924366,158940.4580751953
5.7,10,85,85,52,138325,176.87917340152467,202827.24483091256
2.8,14,125,125,44,131325,198.66601593700403,192614.23270778582
4.8,11,100,100,86,145325,188.61904148844522,202053.97417794733
6.5,11,95,95,50,132325,208.25145543748573,213011.8754825792
5.9,6,55,55,78,152325,115.4787191692949,175202.1830355876
6.5,9,75,75,84,114325,156.7762915989462,198052.1920529619
5.6,6,55,55,58,194325,164.38662826100557,168103.8606219503
2.9,7,65,65,40,121325,103.06296755423567,163867.81925276294
3.6,11,95,95,80,102325,151.67864894877903,191451.23577656274
5.2,14,125,125,70,191325,358.23100880405735,214308.64523754676
3.7,12,105,105,56,109325,174.79468466984784,196062.5953550715
1.7,6,55,55,64,151325,77.67058787031561,165029.66165517666
6.9,13,110,110,80,134325,245.35219753470633,230636.09934650265
1.9,15,135,135,82,131325,187.15871501639597,193552.19744511423
3.4,9,80,80,72,109325,127.44318517926071,176152.30622441584
6.2,14,120,120,62,128325,253.84975553518674,230112.76978888398
5.1,11,100,100,66,150325,197.86703196180625,205129.07357892537
1.8,6,50,50,86,189325,72.4081065016663,169785.71548803608
1.9,7,60,60,56,195325,125.16134142990589,166029.58252695797
1.4,13,115,115,60,179325,161.42535410153593,183119.17048198075
2.4,14,120,120,72,138325,179.8619119569698,189965.73703219698
3.4,11,100,100,68,154325,169.8449282358966,184976.82381729523
6.0,9,80,80,76,184325,177.17680729716452,201485.22254752935
2.8,9,75,75,74,108325,112.6420635201141,170095.16761245564
4.3,6,55,55,46,140325,101.56278182656644,165724.35072561083
4.0,15,135,135,46,196325,354.68503846039624,206336.87898726432
6.7,7,60,60,52,105325,127.25873282648227,187008.5301188201
1.2,6,50,50,48,107325,64.4907628673261,183985.29150721425
3.3,9,75,75,80,106325,117.44145002141248,174121.0623471663
4.2,7,60,60,76,169325,111.88500506391367,168560.14746929612
2.6,17,145,145,70,181325,233.2193776731233,204040.00629124037
4.0,17,145,145,48,140325,261.96368860932745,221584.35886461515
2.0,7,65,65,54,154325,96.30467933698834,167618.02640014456
1.1,10,90,90,62,133325,116.18411424294308,193033.57822079302
1.3,12,105,105,86,192325,195.94571488216997,178687.12915095442
5.0,6,50,50,82,140325,96.52005676663796,169085.45526202678
5.1,10,90,90,82,119325,168.16881184018933,195487.80489918593
6.0,13,110,110,52,103325,221.08678194921845,225789.5234933443
4.6,15,135,135,54,156325,260.3184986564217,222225.47275116388
4.4,15,130,130,52,165325,250.1639117244509,216683.52997883633
6.6,16,140,140,70,147325,311.8450358266129,249366.77961338585
3.3,9,80,80,82,155325,133.18813621128493,171497.72037644498
6.0,13,110,110,50,158325,241.39598507242857,226023.379975616
2.7,14,125,125,46,188325,286.15383791631456,189782.34669168128
4.9,12,105,105,70,180325,212.0205952934613,208269.97661427627
6.7,3,30,30,58,157325,67.42341447347172,156282.75732960817
2.3,17,145,145,42,142325,222.4165663860205,199803.69947561208
3.5,15,135,135,60,197325,334.5670832669932,205885.22906665553
5.4,14,120,120,80,134325,237.27568505037877,227000.17312980624
4.5,7,60,60,40,189325,120.71073001668525,171203.29254797802
6.8,11,95,95,50,170325,224.55226740910499,221043.51625075223
4.1,16,140,140,54,189325,268.25424022532377,221119.4304287335
2.8,7,60,60,44,186325,101.4369490737884,166140.7750198718
3.1,16,140,140,70,127325,223.0880310030867,205708.07484845474
3.7,12,105,105,64,125325,177.92074054670786,194558.08685792374
6.3,12,105,105,76,143325,226.34701902802146,219066.5150537401
4.4,7,65,65,58,127325,117.62115842351751,173270.35563745795
4.6,7,60,60,66,157325,115.37470563464076,170555.08612283363
1.8,16,140,140,64,130325,195.63316066717437,193955.4106453894
6.8,7,65,65,64,196325,212.84036301836773,184316.049267428
2.7,16,140,140,46,192325,321.92298739246627,196721.99001579144
6.2,12,105,105,62,176325,236.64385813201264,223791.2731439779
5.0,9,75,75,48,116325,143.17156368880254,183504.3629150827
1.7,12,105,105,74,135325,144.22153802437663,176874.91246385427
1.7,14,120,120,46,112325,165.40374360535282,186677.663542949
1.6,7,60,60,82,166325,83.30554063918635,169991.7671571075
1.6,16,140,140,82,176325,196.18875053323723,193237.94695216286
4.3,9,75,75,68,188325,145.34933540891853,179403.77652483046
5.6,4,35,35,82,166325,73.23996917183224,161437.17923263676
2.3,5,40,40,84,145325,59.15626294934,161362.74747622557
5.4,10,85,85,58,116325,166.10029049057763,195335.0012226615
5.7,12,105,105,56,148325,220.23855270214654,218396.9168482011
4.9,13,115,115,86,118325,210.6628529750282,218039.97696874267
6.5,16,140,140,86,162325,312.7041094333413,254347.75946902443
6.0,13,110,110,50,168325,244.4309789463825,224288.4372401957
5.1,11,100,100,74,174325,202.73018527612214,206785.49131477522
4.7,11,95,95,68,140325,179.8563628882915,197510.10200350994
6.9,6,50,50,80,183325,119.42025448749725,178688.50159063836
2.5,13,115,115,74,158325,177.72311152735892,186814.3831884714
2.0,6,50,50,74,162325,73.34724458914951,166719.3599831314
1.9,14,125,125,86,199325,253.54038252085866,180726.7009082277
3.9,12,105,105,78,124325,178.85390760340863,197368.1888663999
2.2,13,110,110,74,163325,165.3637003830718,179730.54426317866
4.9,9,80,80,76,102325,143.48492931318165,189626.94733515495
5.8,15,135,135,58,130325,276.60702356266063,234878.93133971933
3.4,17,145,145,64,118325,236.7631601278988,214171.72746789508
1.1,12,105,105,42,118325,136.4640800665684,196115.24951862608
2.4,14,120,120,54,145325,184.59096895231636,189494.47609709084
1.9,10,85,85,64,197325,176.20657689205478,167761.92217018717
1.5,13,115,115,60,162325,160.9809281431814,178428.22933034282
6.3,14,120,120,84,106325,242.32381805003556,237142.78782893825
5.5,13,110,110,40,136325,226.47309263918368,220191.16248478892
3.9,10,90,90,56,169325,165.03110313880086,184858.33121551957
5.8,5,40,40,56,164325,87.25743223600833,165946.54164279415
2.5,10,85,85,50,102325,125.46021884086011,171694.03220083623
1.4,11,95,95,76,123325,123.79426859368533,179833.99574483946
6.7,5,40,40,48,161325,93.80096694914796,169785.62899430472
2.7,14,120,120,58,126325,185.57490259702604,195181.06046299278
6.2,17,145,145,78,181325,326.4364328688181,255779.95129795017
4.2,17,145,145,56,169325,274.73658713642146,222996.07802416224
3.2,14,120,120,46,116325,194.60911047446973,197427.36255763646
