RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
3.8,15,135,135,80,194325,338.13823995864664,204083.89840255392
3.0,5,40,40,74,133325,63.700951860579295,158163.09790452846
6.9,15,135,135,44,123325,299.42403934867576,249409.95114322018
2.3,10,90,90,68,152325,135.8473508592544,172083.16665868714
5.9,15,130,130,52,103325,258.4269164761577,239335.56474609673
3.7,17,145,145,68,125325,245.3785097619095,218277.45783984114
4.1,12,105,105,52,124325,186.1924635811544,199489.1268461156
1.5,7,65,65,80,147325,87.62073797848839,170090.34400733205
6.0,8,70,70,48,121325,145.05051394742054,187196.48392753972
1.4,10,90,90,78,117325,116.11317319014391,174410.7324392504
1.9,7,65,65,40,113325,92.06013347424265,163494.66553185572
6.6,10,90,90,44,149325,203.38274890360918,208897.0638077966
5.0,11,100,100,74,125325,188.05193212303053,206567.4048722716
5.0,9,80,80,48,167325,162.75735295657933,189123.01277519958
4.7,10,85,85,78,136325,159.0396811630031,192947.5771032386
2.3,15,130,130,68,194325,280.7234802821131,191378.41334874486
6.4,8,70,70,50,137325,153.1995271654813,189791.08719094435
4.8,13,110,110,60,183325,223.1365832089071,210325.11645096506
6.8,3,30,30,52,116325,63.79801276628836,157922.45839535355
5.5,10,85,85,76,162325,176.81078113967592,199112.13833261188
2.6,11,100,100,50,105325,149.20441260583627,180217.22100581913
4.6,17,145,145,72,191325,288.52930416193385,232320.6809930166
6.9,7,60,60,84,136325,133.66342012510097,184811.4844224507
6.0,9,80,80,56,177325,177.97324262218447,200015.1927640913
4.0,15,130,130,74,114325,221.032065940544,215304.4522838807
3.6,4,35,35,56,135325,59.97269718270545,158239.28492561233
5.2,17,145,145,50,193325,309.7494335025599,241562.94517827305
1.2,8,70,70,80,134325,89.60641993066545,182251.26121569527
3.9,9,75,75,60,133325,131.9772847159902,176571.3069217992
6.7,4,35,35,58,106325,73.86429997937037,161733.53833593905
2.7,17,145,145,62,133325,225.4584617828238,207508.54518867374
6.2,14,120,120,72,174325,268.8062396961892,235658.12537562315
6.3,12,105,105,72,158325,231.74018336189616,223768.9273065574
6.7,6,55,55,68,110325,115.37762277608682,178683.57598106968
1.1,16,140,140,76,171325,184.2012123735678,205796.2667515232
3.7,7,65,65,82,104325,104.2198998718258,170299.91584404974
4.3,7,60,60,48,112325,106.84663881323027,171204.54857493192
4.0,8,70,70,86,149325,123.74608717717403,171997.8964688854
5.1,9,75,75,68,179325,154.9344580928944,186915.68381392787
6.5,17,145,145,70,164325,329.1070197075595,257753.88180478406
4.3,11,100,100,82,199325,263.59529758328637,188503.4454151952
5.5,11,95,95,74,121325,186.19877711032072,203783.88544160803
6.7,6,55,55,56,178325,128.81308678580885,182085.59366162933
2.3,7,65,65,50,193325,142.38996735246076,166282.79029305416
6.5,7,60,60,58,120325,128.45211804807886,182217.68634549325
5.5,10,85,85,76,140325,171.65978583434097,201126.3783001386
2.5,5,45,45,46,158325,71.36422229673622,161303.19660569556
1.5,10,90,90,86,130325,118.22203076713312,175045.77261756413
2.5,11,95,95,62,194325,211.12034617738396,172789.52153185525
2.7,10,90,90,62,191325,203.6487559614106,172663.1929415549
1.4,6,55,55,58,149325,75.25587826465187,173846.01398378797
1.4,17,145,145,60,182325,204.00877282631558,193353.0983537042
4.3,15,135,135,60,109325,235.6903341576707,222619.71871317137
1.4,4,35,35,64,171325,48.569328444485535,168693.83389260777
6.4,3,30,30,44,130325,63.860640073350936,154924.66821286356
5.9,8,70,70,76,130325,143.34040496949737,186210.7864153614
6.8,7,60,60,74,154325,137.0863821030366,183695.396473796
3.6,10,90,90,74,139325,152.30748476430557,183010.33833182734
4.7,16,140,140,54,138325,266.72939287558216,227047.18954048815
3.1,10,90,90,82,171325,149.28641499556892,181250.09473296904
5.0,6,50,50,64,133325,96.86404331353882,169082.3244067522
1.7,16,140,140,70,121325,189.99594494649702,192822.6954308499
2.7,17,145,145,56,182325,239.12317308990083,205646.44284058257
3.6,5,45,45,60,145325,77.67778108741042,159195.71837170166
6.8,13,110,110,42,172325,262.502839313258,233879.50745243754
5.5,5,40,40,48,141325,83.04449104123889,164657.1560507511
5.7,13,115,115,84,175325,244.69502345838126,225555.16903828483
3.3,5,45,45,80,120325,71.59709343071705,160085.56675181448
5.3,13,110,110,78,167325,226.10350423060748,216357.78435534888
5.6,14,125,125,40,140325,259.1991742887597,231525.64836849662
5.3,6,55,55,44,141325,110.83877702530148,171035.1043357352
2.1,6,50,50,64,152325,74.24058966591095,166854.71310583086
4.9,5,40,40,70,199325,83.05919628641846,162650.73369374537
3.5,9,80,80,80,153325,135.8500406983577,173639.5522462882
6.8,11,95,95,68,197325,313.61706809880167,212932.659743473
1.6,6,50,50,54,130325,69.04739964607623,169619.56115258532
1.7,9,75,75,56,175325,109.40660184245733,172589.21935679507
4.8,11,95,95,58,154325,186.2187313479224,198275.29110790743
5.4,6,50,50,70,140325,100.79568307445807,171070.33738021465
2.2,11,95,95,50,116325,138.49806872487463,175165.0788375726
5.9,5,45,45,52,193325,138.47173385805806,163723.5929771756
4.6,17,145,145,86,171325,279.3082229091111,229999.35125298638
5.1,16,140,140,82,182325,285.91399232341405,235899.802423252
2.7,8,70,70,84,110325,102.96649340252172,165574.02502044503
3.2,5,45,45,44,117325,72.94314951752398,159762.5379320363
1.8,6,55,55,76,138325,76.47205505216733,166562.91960416723
3.2,15,135,135,68,186325,232.7256139270352,210569.2522487597
6.6,10,90,90,56,125325,194.608865358891,209729.95272238395
6.3,15,130,130,50,114325,272.2423607768153,240076.10010708513
4.5,16,140,140,62,165325,269.6401190043787,224486.45644082595
3.7,7,60,60,56,124325,102.39592515299854,167057.75556409312
3.8,13,110,110,66,181325,201.68111481804212,197181.53836285078
